DENOMINAZIONE;LATITUDINE_N;LONGITUDINE_E
NOASCA;452714;71841
CHATEAU BEAULARD;450135;64514
BEAULARD DORA DI BARDONECCHIA;450248;64529
OULX DORA RIPARIA;450201;65000
GAD;450234;65025
PARELLA CHIUSELLA;452512;74753
PERRERO GERMANASCA;445648;70946
PINEROLO;445350;72134
SAN MARTINO CHISONE;445307;71659
TALUCCO;445656;71726
PIVERONE;452550;80201
POIRINO BANNA;445526;74947
SOUCHERES BASSES CHISONE;450143;65733
CLOT DELLA SOMA;445858;65630
PRAGELATO - TRAMPOLINO A VALLE;450032;65629
PRALORMO;445113;75445
RIVOLI LA PEROSA;450448;72956
FORZO;453049;72914
SAN BENIGNO ORCO;451448;74822
SAN SEBASTIANO PO;451021;75635
SESTRIERE ALPETTE;445704;65320
SESTRIERE BANCHETTA;445754;65436
MONTE FRAITEVE;445837;65140
SESTRIERE;445704;65229
TAVAGNASCO DORA BALTEA;453253;74937
TRANA SANGONE;450208;72512
TRAVERSELLA;453142;74229
LAGO DIETRO LA TORRE;451533;70951
MALCIAUSSIA;451228;70854
PIAMPRATO;453325;73423
BARCENISIO;451130;65906
VEROLENGO DORA BALTEA;451131;80229
VEROLENGO;451106;80040
VIALFRE';452247;74901
VIU' CENTRALE FUCINE;451351;72151
NIQUIDETTO;451149;72132
CAPANNA MARGHERITA;455538;75237
ALAGNA;455228;75610
BOCCHETTA DELLE PISSE;455232;75404
ALBANO VERCELLESE;452617;82318
BOCCIOLETO;455005;80641
BORGOSESIA SESIA;454412;81538
CAMPERTOGNO SESIA;454755;80155
CARCOFORO;455426;80302
CARISIO ELVO;452507;81227
COSSATO STRONA;453408;81059
FOBELLO;455338;80931
GRAGLIA;453409;75700
LOZZOLO;453833;82000
MASSERANO;453328;81519
PETTINENGO;453629;80609
PRAY SESSERA;454026;81318
RASSA;454610;80059
RIMA;455247;80034
PASSOBREVE CERVO;453750;80217
CAMPARIENT;454356;80506
TRIVERO;454030;80851
VARALLO MASTALLONE;454950;81520
VARALLO;454911;81626
VERCELLI;451928;82322
VIGLIANO CERVO;453315;80640
MONTE MESMA;454623;82624
ALPE DEVERO;461858;81536
ANZINO;455912;80921
PIZZANCO;460726;81040
LAGO PAIONE;461034;81125
BORGOMANERO;454118;82737
CALTIGNAGA TERDOPPIO;453107;83636
CAMERI;453253;84138
CANNOBIO;460356;84129
CEPPO MORELLI;455914;80247
CESARA;455010;82153
PONTEMAGLIO TOCE;461051;81926
DOMODOSSOLA TOCE;460645;81823
DOMODOSSOLA;460611;81808
PONTE CADDO BOGNA;460718;81627
DRUOGNO;460803;82534
GRAVELLONA STRONA;455537;82603
MACUGNAGA RIFUGIO ZAMBONI;455705;75501
MACUGNAGA PECETTO;455820;75728
PASSO DEL MORO;455949;75835
CANDOGLIA TOCE;455829;82519
LARECCHIO;461217;82553
NEBBIUNO;454935;83022
NOVARA;452629;83759
NOVARA AGOGNA;452552;83526
OMEGNA LAGO D'ORTA;455228;82433
PARUZZARO;454456;83044
FOMARCO;460015;81557
SANTINO SAN BERNARDINO;455724;83132
MONTE CARZA;460233;84047
TRASQUERA;461254;81221
MOTTAC;460341;82415
SAN CARLO ANZA;454914;80803
ALPE VEGLIA;461630;80829
VARZO;461459;81135
PALLANZA;455527;83256
UNCHIO TROBASO;455737;83154
ARGENTERA;442343;65622
BALDISSERO D'ALBA;444508;75517
BOVES;442006;73343
BRA;444204;75106
PIAGGIA;440418;74353
UPEGA;440746;74331
BROSSASCO;443406;72224
BUSCA MAIRA;443054;72853
GARDETTA;442433;70043
CANOSIO;442716;70511
CARRU' PESIO;442753;75258
TORRETTE VARAITA;443501;70622
CASTELLETTO UZZONE;442935;81117
CASTELLINALDO;444613;80137
CASTELMAGNO;442400;71006
CRISSOLO PO;444160;70913
PIAN GIASSET;444122;70743
S. GIACOMO DEMONTE;442044;71211
GAIOLA STURA DI DEMONTE;441955;72459
DEMONTE;441859;71844
DRONERO MAIRA;442750;72000
DRONERO;442705;72439
ELVA;443246;70521
ROCCA DELL'ABISSO;440836;73011
DIGA LA PIASTRA;441336;72319
DIGA DEL CHIOTAS;440940;72003
FARIGLIANO TANARO;443102;75406
FEISOGLIO;443245;80644
FOSSANO STURA DI DEMONTE;443126;74328
FOSSANO;443220;74714
BORELLO;441326;74959
MONTE MALANOTTE;441534;74737
GOVONE;444713;80647
PIANTORRE TANARO;442504;75820
LIMONE PANCANI;440939;73524
